Country-City,Date,Temperature,Timestamp
"Guinea-Bissau, Bissau",วันพฤหัสบดี 15:00,35 °C,3/4/2025
"Guyana, Georgetown",วันพฤหัสบดี 11:00,30 °C,3/4/2025
"Haiti, Port-au-Prince*",วันพฤหัสบดี 11:00,30 °C,3/4/2025
"Honduras, Tegucigalpa",วันพฤหัสบดี 09:00,25 °C,3/4/2025
"Hong Kong, Hong Kong",วันพฤหัสบดี 23:00,20 °C,3/4/2025
"Hungary, Budapest*",วันพฤหัสบดี 17:00,18 °C,3/4/2025
"Iceland, Reykjavik",วันพฤหัสบดี 15:00,8 °C,3/4/2025
"India, Bihar, Patna",วันพฤหัสบดี 20:30,32 °C,3/4/2025
"India, Delhi, Delhi",วันพฤหัสบดี 20:30,36 °C,3/4/2025
"India, Delhi, New Delhi",วันพฤหัสบดี 20:30,36 °C,3/4/2025
"India, Karnataka, Bengaluru",วันพฤหัสบดี 20:30,24 °C,3/4/2025
"India, Kerala, Thiruvananthapuram",วันพฤหัสบดี 20:30,29 °C,3/4/2025
"India, Madhya Pradesh, Indore",วันพฤหัสบดี 20:30,36 °C,3/4/2025
"India, Maharashtra, Mumbai",วันพฤหัสบดี 20:30,32 °C,3/4/2025
"India, Maharashtra, Pune",วันพฤหัสบดี 20:30,21 °C,3/4/2025
"India, Odisha, Bhubaneshwar",วันพฤหัสบดี 20:30,32 °C,3/4/2025
"India, Punjab, Ahmedgarh",วันพฤหัสบดี 20:30,33 °C,3/4/2025
"India, Punjab, Ludhiana",วันพฤหัสบดี 20:30,33 °C,3/4/2025
"India, Tamil Nadu, Chennai",วันพฤหัสบดี 20:30,29 °C,3/4/2025
"India, Uttar Pradesh, Varanasi",วันพฤหัสบดี 20:30,32 °C,3/4/2025
"India, West Bengal, Kolkata",วันพฤหัสบดี 20:30,30 °C,3/4/2025
"Indonesia, Bali, Denpasar",วันพฤหัสบดี 23:00,28 °C,3/4/2025
"Indonesia, East Java, Surabaya",วันพฤหัสบดี 22:00,26 °C,3/4/2025
"Indonesia, East Kalimantan, Balikpapan",วันพฤหัสบดี 23:00,26 °C,3/4/2025
"Indonesia, East Kalimantan, Nusantara",วันพฤหัสบดี 23:00,26 °C,3/4/2025
"Indonesia, Jakarta Special Capital Region, Jakarta",วันพฤหัสบดี 22:00,27 °C,3/4/2025
"Indonesia, North Sulawesi, Manado",วันพฤหัสบดี 23:00,26 °C,3/4/2025
"Indonesia, Papua, Jayapura",วันศุกร์ 00:00,27 °C,3/4/2025
"Indonesia, South Sulawesi, Makassar",วันพฤหัสบดี 23:00,25 °C,3/4/2025
"Indonesia, West Kalimantan, Pontianak",วันพฤหัสบดี 22:00,25 °C,3/4/2025
"Indonesia, West Papua, Manokwari",วันศุกร์ 00:00,27 °C,3/4/2025
"Iran, Tehran",วันพฤหัสบดี 18:30,26 °C,3/4/2025
"Ireland, Dublin*",วันพฤหัสบดี 16:00,13 °C,3/4/2025
"Isle of Man, Douglas*",วันพฤหัสบดี 16:00,15 °C,3/4/2025
"Israel, Jerusalem*",วันพฤหัสบดี 18:00,22 °C,3/4/2025
"Israel, Tel Aviv*",วันพฤหัสบดี 18:00,22 °C,3/4/2025
"Italy, Milan*",วันพฤหัสบดี 17:00,20 °C,3/4/2025
"Italy, Rome*",วันพฤหัสบดี 17:00,21 °C,3/4/2025
"Jamaica, Kingston",วันพฤหัสบดี 10:00,31 °C,3/4/2025
"Japan, Kobe",วันศุกร์ 00:00,8 °C,3/4/2025
"Japan, Kyoto",วันศุกร์ 00:00,8 °C,3/4/2025
"Japan, Nagoya",วันศุกร์ 00:00,10 °C,3/4/2025
"Japan, Osaka",วันศุกร์ 00:00,8 °C,3/4/2025
"Japan, Sapporo",วันศุกร์ 00:00,3 °C,3/4/2025
"Japan, Tokyo",วันศุกร์ 00:00,6 °C,3/4/2025
"Japan, Yokohama",วันศุกร์ 00:00,8 °C,3/4/2025
"Jordan, Amman",วันพฤหัสบดี 18:00,21 °C,3/4/2025
"Kazakhstan, Almaty",วันพฤหัสบดี 20:00,13 °C,3/4/2025
"Kazakhstan, Aqtobe",วันพฤหัสบดี 20:00,13 °C,3/4/2025
"Kazakhstan, Astana",วันพฤหัสบดี 20:00,9 °C,3/4/2025
"Kazakhstan, Oral",วันพฤหัสบดี 20:00,15 °C,3/4/2025
"Kenya, Nairobi",วันพฤหัสบดี 18:00,26 °C,3/4/2025
"Kiribati, Christmas Island, Kiritimati",วันศุกร์ 05:00,26 °C,3/4/2025
"Kosovo, Pristina*",วันพฤหัสบดี 17:00,14 °C,3/4/2025
"Kuwait, Kuwait City",วันพฤหัสบดี 18:00,31 °C,3/4/2025
"Kyrgyzstan, Bishkek",วันพฤหัสบดี 21:00,21 °C,3/4/2025
"Laos, Vientiane",วันพฤหัสบดี 22:00,24 °C,3/4/2025
"Latvia, Riga*",วันพฤหัสบดี 18:00,18 °C,3/4/2025
"Lebanon, Beirut*",วันพฤหัสบดี 18:00,20 °C,3/4/2025
"Lesotho, Maseru",วันพฤหัสบดี 17:00,15 °C,3/4/2025
"Liberia, Monrovia",วันพฤหัสบดี 15:00,31 °C,3/4/2025
"Liechtenstein, Vaduz*",วันพฤหัสบดี 17:00,19 °C,3/4/2025
"Lithuania, Vilnius*",วันพฤหัสบดี 18:00,17 °C,3/4/2025
"Luxembourg, Luxembourg*",วันพฤหัสบดี 17:00,19 °C,3/4/2025
"Madagascar, Antananarivo",วันพฤหัสบดี 18:00,24 °C,3/4/2025
"Malawi, Lilongwe",วันพฤหัสบดี 17:00,26 °C,3/4/2025
"Malaysia, Kuala Lumpur, Kuala Lumpur",วันพฤหัสบดี 23:00,29 °C,3/4/2025
"Maldives, Male",วันพฤหัสบดี 20:00,30 °C,3/4/2025
"Mali, Bamako",วันพฤหัสบดี 15:00,41 °C,3/4/2025
"Malta, Valletta*",วันพฤหัสบดี 17:00,18 °C,3/4/2025
"Marshall Islands, Majuro",วันศุกร์ 03:00,27 °C,3/4/2025
"Martinique, Fort-de-France",วันพฤหัสบดี 11:00,29 °C,3/4/2025
"Mauritius, Port Louis",วันพฤหัสบดี 19:00,27 °C,3/4/2025
"Mexico, Aguascalientes, Aguascalientes",วันพฤหัสบดี 09:00,16 °C,3/4/2025
"Mexico, Baja California, Mexicali*",วันพฤหัสบดี 08:00,11 °C,3/4/2025
"Mexico, Baja California, Tijuana*",วันพฤหัสบดี 08:00,9 °C,3/4/2025
"Mexico, Ciudad de México, Mexico City",วันพฤหัสบดี 09:00,19 °C,3/4/2025
"Mexico, Guerrero, Acapulco",วันพฤหัสบดี 09:00,25 °C,3/4/2025
"Mexico, Jalisco, Guadalajara",วันพฤหัสบดี 09:00,16 °C,3/4/2025
"Mexico, Quintana Roo, Cancún",วันพฤหัสบดี 10:00,29 °C,3/4/2025
"Mexico, Sinaloa, Mazatlan",วันพฤหัสบดี 08:00,17 °C,3/4/2025
"Mexico, Sonora, Hermosillo",วันพฤหัสบดี 08:00,9 °C,3/4/2025
"Mexico, Veracruz, Veracruz",วันพฤหัสบดี 09:00,26 °C,3/4/2025
"Micronesia, Pohnpei, Palikir",วันศุกร์ 02:00,27 °C,3/4/2025
"Moldova, Chișinău*",วันพฤหัสบดี 18:00,12 °C,3/4/2025
"Monaco, Monaco*",วันพฤหัสบดี 17:00,18 °C,3/4/2025
"Mongolia, Hovd",วันพฤหัสบดี 22:00,6 °C,3/4/2025
"Mongolia, Ulaanbaatar",วันพฤหัสบดี 23:00,-5 °C,3/4/2025
"Montenegro, Podgorica*",วันพฤหัสบดี 17:00,16 °C,3/4/2025
"Morocco, Casablanca",วันพฤหัสบดี 15:00,22 °C,3/4/2025
"Morocco, Rabat",วันพฤหัสบดี 15:00,22 °C,3/4/2025
"Mozambique, Maputo",วันพฤหัสบดี 17:00,23 °C,3/4/2025
"Myanmar, Yangon",วันพฤหัสบดี 21:30,31 °C,3/4/2025
"Namibia, Windhoek",วันพฤหัสบดี 17:00,25 °C,3/4/2025
"Nepal, Kathmandu",วันพฤหัสบดี 20:45,20 °C,3/4/2025
"Netherlands, Amsterdam*",วันพฤหัสบดี 17:00,20 °C,3/4/2025
"New Caledonia, New Caledonia, Noumea",วันศุกร์ 02:00,24 °C,3/4/2025
"New Zealand, Auckland*",วันศุกร์ 04:00,19 °C,3/4/2025
"New Zealand, Wellington*",วันศุกร์ 04:00,17 °C,3/4/2025
"Nicaragua, Managua",วันพฤหัสบดี 09:00,28 °C,3/4/2025
"Niger, Niamey",วันพฤหัสบดี 16:00,41 °C,3/4/2025
"Nigeria, Lagos, Lagos",วันพฤหัสบดี 16:00,33 °C,3/4/2025
"Niue, Alofi",วันพฤหัสบดี 04:00,23 °C,3/4/2025
"North Korea, Pyongyang",วันศุกร์ 00:00,9 °C,3/4/2025
"North Macedonia, Skopje*",วันพฤหัสบดี 17:00,19 °C,3/4/2025
"Norway, Svalbard, Longyearbyen*",วันพฤหัสบดี 17:00,-15 °C,3/4/2025
"Norway, Oslo*",วันพฤหัสบดี 17:00,17 °C,3/4/2025
"Norway, Tromsø*",วันพฤหัสบดี 17:00,2 °C,3/4/2025
"Oman, Muscat",วันพฤหัสบดี 19:00,34 °C,3/4/2025
"Pakistan, Islamabad",วันพฤหัสบดี 20:00,25 °C,3/4/2025
"Pakistan, Sindh, Karachi",วันพฤหัสบดี 20:00,29 °C,3/4/2025
"Pakistan, Lahore",วันพฤหัสบดี 20:00,28 °C,3/4/2025
"Palau, Ngerulmud",วันศุกร์ 00:00,27 °C,3/4/2025
"Panama, Panama",วันพฤหัสบดี 10:00,27 °C,3/4/2025
"Papua New Guinea, Port Moresby",วันศุกร์ 01:00,24 °C,3/4/2025
"Paraguay, Asuncion",วันพฤหัสบดี 12:00,24 °C,3/4/2025
"Peru, Lima, Lima",วันพฤหัสบดี 10:00,19 °C,3/4/2025
"Philippines, Manila",วันพฤหัสบดี 23:00,28 °C,3/4/2025
"Poland, Warsaw*",วันพฤหัสบดี 17:00,19 °C,3/4/2025
"Portugal, Azores, Ponta Delgada*",วันพฤหัสบดี 15:00,16 °C,3/4/2025
"Portugal, Lisbon, Lisbon*",วันพฤหัสบดี 16:00,17 °C,3/4/2025
"Puerto Rico, San Juan",วันพฤหัสบดี 11:00,28 °C,3/4/2025
"Qatar, Doha",วันพฤหัสบดี 18:00,33 °C,3/4/2025
"Réunion (French), Saint-Denis",วันพฤหัสบดี 19:00,27 °C,3/4/2025
"Romania, Bucharest*",วันพฤหัสบดี 18:00,15 °C,3/4/2025
"Russia, Belushya Guba",วันพฤหัสบดี 18:00,-5 °C,3/4/2025
"Russia, Ufa",วันพฤหัสบดี 20:00,7 °C,3/4/2025
"Russia, Chelyabinsk",วันพฤหัสบดี 20:00,5 °C,3/4/2025
"Russia, Anadyr",วันศุกร์ 03:00,-16 °C,3/4/2025
"Russia, Pevek",วันศุกร์ 03:00,-20 °C,3/4/2025
"Russia, Irkutsk",วันพฤหัสบดี 23:00,2 °C,3/4/2025
"Russia, Kaliningrad",วันพฤหัสบดี 17:00,14 °C,3/4/2025
"Russia, Petropavlovsk-Kamchatsky",วันศุกร์ 03:00,-2 °C,3/4/2025
"Russia, Komsomolsk-on-Amur",วันศุกร์ 01:00,-1 °C,3/4/2025
"Russia, Khatanga",วันพฤหัสบดี 22:00,,3/4/2025
"Russia, Krasnoyarsk",วันพฤหัสบดี 22:00,4 °C,3/4/2025
"Russia, Norilsk",วันพฤหัสบดี 22:00,-18 °C,3/4/2025
"Russia, Magadan",วันศุกร์ 02:00,-5 °C,3/4/2025
"Russia, Moscow",วันพฤหัสบดี 18:00,14 °C,3/4/2025
"Russia, Murmansk",วันพฤหัสบดี 18:00,2 °C,3/4/2025
"Russia, Novgorod",วันพฤหัสบดี 18:00,14 °C,3/4/2025
"Russia, Novosibirsk",วันพฤหัสบดี 22:00,10 °C,3/4/2025
"Russia, Omsk",วันพฤหัสบดี 21:00,16 °C,3/4/2025
"Russia, Perm",วันพฤหัสบดี 20:00,4 °C,3/4/2025
"Russia, Vladivostok",วันศุกร์ 01:00,4 °C,3/4/2025
"Russia, Saint-Petersburg",วันพฤหัสบดี 18:00,14 °C,3/4/2025
"Russia, Tiksi",วันศุกร์ 00:00,-23 °C,3/4/2025
"Russia, Verkhoyansk",วันศุกร์ 01:00,-15 °C,3/4/2025
"Russia, Yakutsk",วันศุกร์ 00:00,-3 °C,3/4/2025
"Russia, Yuzhno-Sakhalinsk",วันศุกร์ 02:00,-1 °C,3/4/2025
"Russia, Samara",วันพฤหัสบดี 19:00,12 °C,3/4/2025
"Russia, Yekaterinburg",วันพฤหัสบดี 20:00,5 °C,3/4/2025
"Russia, Kazan",วันพฤหัสบดี 18:00,8 °C,3/4/2025
"Russia, Izhevsk",วันพฤหัสบดี 19:00,6 °C,3/4/2025
"Russia, Chita",วันศุกร์ 00:00,3 °C,3/4/2025
"Rwanda, Kigali",วันพฤหัสบดี 17:00,26 °C,3/4/2025
"Saint Helena, Jamestown",วันพฤหัสบดี 15:00,22 °C,3/4/2025
"Saint Kitts and Nevis, Basseterre",วันพฤหัสบดี 11:00,27 °C,3/4/2025
"Saint Lucia, Castries",วันพฤหัสบดี 11:00,28 °C,3/4/2025
"Saint Vincent and Grenadines, Kingstown",วันพฤหัสบดี 11:00,29 °C,3/4/2025
"Samoa, Apia",วันศุกร์ 04:00,28 °C,3/4/2025
"San Marino, San Marino*",วันพฤหัสบดี 17:00,20 °C,3/4/2025
"Saudi Arabia, Makkah",วันพฤหัสบดี 18:00,30 °C,3/4/2025
"Saudi Arabia, Medina",วันพฤหัสบดี 18:00,38 °C,3/4/2025
"Saudi Arabia, Riyadh",วันพฤหัสบดี 18:00,38 °C,3/4/2025
"Senegal, Dakar",วันพฤหัสบดี 15:00,23 °C,3/4/2025
"Serbia, Belgrade*",วันพฤหัสบดี 17:00,12 °C,3/4/2025
"Seychelles, Victoria",วันพฤหัสบดี 19:00,29 °C,3/4/2025
"Sierra Leone, Freetown",วันพฤหัสบดี 15:00,29 °C,3/4/2025
"Singapore, Singapore",วันพฤหัสบดี 23:00,27 °C,3/4/2025
"Slovakia, Bratislava*",วันพฤหัสบดี 17:00,19 °C,3/4/2025
"Slovenia, Ljubljana*",วันพฤหัสบดี 17:00,19 °C,3/4/2025
"Solomon Islands, Honiara",วันศุกร์ 02:00,26 °C,3/4/2025
"South Africa, Cape Town",วันพฤหัสบดี 17:00,28 °C,3/4/2025
"South Africa, Johannesburg",วันพฤหัสบดี 17:00,16 °C,3/4/2025
"South Africa, Marion Island (Prince Edward Islands)",วันพฤหัสบดี 18:00,7 °C,3/4/2025
"South Africa, Pretoria",วันพฤหัสบดี 17:00,20 °C,3/4/2025
"South Korea, Seoul",วันศุกร์ 00:00,5 °C,3/4/2025
"Spain, Barcelona, Barcelona*",วันพฤหัสบดี 17:00,17 °C,3/4/2025
"Spain, Madrid, Madrid*",วันพฤหัสบดี 17:00,10 °C,3/4/2025
"Spain, Majorca, Palma*",วันพฤหัสบดี 17:00,20 °C,3/4/2025
"Sri Lanka, Colombo",วันพฤหัสบดี 20:30,26 °C,3/4/2025
"Sri Lanka, Sri Jayawardenepura Kotte",วันพฤหัสบดี 20:30,26 °C,3/4/2025
"Sweden, Stockholm*",วันพฤหัสบดี 17:00,19 °C,3/4/2025
"Switzerland, Bern, Bern*",วันพฤหัสบดี 17:00,20 °C,3/4/2025
"Switzerland, Geneva, Geneva*",วันพฤหัสบดี 17:00,18 °C,3/4/2025
"Switzerland, Zurich, Zürich*",วันพฤหัสบดี 17:00,20 °C,3/4/2025
"Syria, Damascus",วันพฤหัสบดี 18:00,22 °C,3/4/2025
"Taiwan, Taipei",วันพฤหัสบดี 23:00,18 °C,3/4/2025
"Tajikistan, Dushanbe",วันพฤหัสบดี 20:00,16 °C,3/4/2025
"Tanzania, Dar es Salaam",วันพฤหัสบดี 18:00,29 °C,3/4/2025
"Tanzania, Dodoma",วันพฤหัสบดี 18:00,27 °C,3/4/2025
"Thailand, Bangkok",วันพฤหัสบดี 22:00,30 °C,3/4/2025
"Togo, Lomé",วันพฤหัสบดี 15:00,32 °C,3/4/2025
"Tonga, Nuku'alofa",วันศุกร์ 04:00,24 °C,3/4/2025
"Trinidad and Tobago, Port of Spain",วันพฤหัสบดี 11:00,29 °C,3/4/2025
"Tunisia, Tunis",วันพฤหัสบดี 16:00,21 °C,3/4/2025
"Turkey, Ankara",วันพฤหัสบดี 18:00,15 °C,3/4/2025
"Turkey, Istanbul",วันพฤหัสบดี 18:00,13 °C,3/4/2025
"Turkmenistan, Ashgabat",วันพฤหัสบดี 20:00,33 °C,3/4/2025
"Tuvalu, Funafuti",วันศุกร์ 03:00,29 °C,3/4/2025
"Uganda, Kampala",วันพฤหัสบดี 18:00,26 °C,3/4/2025
"Ukraine, Dnipro*",วันพฤหัสบดี 18:00,12 °C,3/4/2025
"Ukraine, Kyiv*",วันพฤหัสบดี 18:00,15 °C,3/4/2025
"United Arab Emirates, Abu Dhabi, Abu Dhabi",วันพฤหัสบดี 19:00,29 °C,3/4/2025
"United Arab Emirates, Dubai, Dubai",วันพฤหัสบดี 19:00,29 °C,3/4/2025
"United Kingdom, England, London*",วันพฤหัสบดี 16:00,18 °C,3/4/2025
"United Kingdom, Northern Ireland, Belfast*",วันพฤหัสบดี 16:00,16 °C,3/4/2025
"United Kingdom, Scotland, Edinburgh*",วันพฤหัสบดี 16:00,11 °C,3/4/2025
"United Kingdom, Scotland, Glasgow*",วันพฤหัสบดี 16:00,16 °C,3/4/2025
"United Kingdom, Wales, Cardiff*",วันพฤหัสบดี 16:00,18 °C,3/4/2025
"Uruguay, Montevideo",วันพฤหัสบดี 12:00,21 °C,3/4/2025
"US Minor Outlying Islands, Midway",วันพฤหัสบดี 04:00,17 °C,3/4/2025
"US Minor Outlying Islands, Wake Island",วันศุกร์ 03:00,25 °C,3/4/2025
"USA, Alabama, Montgomery*",วันพฤหัสบดี 10:00,24 °C,3/4/2025
"USA, Alaska, Adak*",วันพฤหัสบดี 06:00,0 °C,3/4/2025
"USA, Alaska, Anchorage*",วันพฤหัสบดี 07:00,3 °C,3/4/2025
"USA, Alaska, Fairbanks*",วันพฤหัสบดี 07:00,0 °C,3/4/2025
"USA, Alaska, Juneau*",วันพฤหัสบดี 07:00,-2 °C,3/4/2025
"USA, Alaska, Unalaska*",วันพฤหัสบดี 07:00,1 °C,3/4/2025
"USA, Arizona, Phoenix",วันพฤหัสบดี 08:00,11 °C,3/4/2025
"USA, Arkansas, Little Rock*",วันพฤหัสบดี 10:00,16 °C,3/4/2025
"USA, California, Los Angeles*",วันพฤหัสบดี 08:00,11 °C,3/4/2025
"USA, California, Sacramento*",วันพฤหัสบดี 08:00,6 °C,3/4/2025
"USA, California, San Diego*",วันพฤหัสบดี 08:00,12 °C,3/4/2025
"USA, California, San Francisco*",วันพฤหัสบดี 08:00,8 °C,3/4/2025
"USA, California, San Jose*",วันพฤหัสบดี 08:00,6 °C,3/4/2025
"USA, Colorado, Denver*",วันพฤหัสบดี 09:00,0 °C,3/4/2025
"USA, Connecticut, Hartford*",วันพฤหัสบดี 11:00,8 °C,3/4/2025
"USA, Delaware, Dover*",วันพฤหัสบดี 11:00,21 °C,3/4/2025
"USA, District of Columbia, Washington DC*",วันพฤหัสบดี 11:00,16 °C,3/4/2025
"USA, Florida, Miami*",วันพฤหัสบดี 11:00,28 °C,3/4/2025
"USA, Florida, Orlando*",วันพฤหัสบดี 11:00,27 °C,3/4/2025
"USA, Florida, Pensacola*",วันพฤหัสบดี 10:00,23 °C,3/4/2025
"USA, Georgia, Atlanta*",วันพฤหัสบดี 11:00,23 °C,3/4/2025
"USA, Hawaii, Honolulu",วันพฤหัสบดี 05:00,23 °C,3/4/2025
"USA, Idaho, Boise*",วันพฤหัสบดี 09:00,-1 °C,3/4/2025
"USA, Illinois, Chicago*",วันพฤหัสบดี 10:00,11 °C,3/4/2025
"USA, Indiana, Indianapolis*",วันพฤหัสบดี 11:00,13 °C,3/4/2025
"USA, Iowa, Des Moines*",วันพฤหัสบดี 10:00,4 °C,3/4/2025
"USA, Kansas, Topeka*",วันพฤหัสบดี 10:00,7 °C,3/4/2025
"USA, Kentucky, Louisville*",วันพฤหัสบดี 11:00,18 °C,3/4/2025
"USA, Louisiana, New Orleans*",วันพฤหัสบดี 10:00,26 °C,3/4/2025
"USA, Maine, Augusta*",วันพฤหัสบดี 11:00,2 °C,3/4/2025
"USA, Maryland, Baltimore*",วันพฤหัสบดี 11:00,15 °C,3/4/2025
"USA, Massachusetts, Boston*",วันพฤหัสบดี 11:00,8 °C,3/4/2025
"USA, Michigan, Detroit*",วันพฤหัสบดี 11:00,16 °C,3/4/2025
"USA, Minnesota, Minneapolis*",วันพฤหัสบดี 10:00,2 °C,3/4/2025
"USA, Minnesota, St. Paul*",วันพฤหัสบดี 10:00,3 °C,3/4/2025
"USA, Mississippi, Jackson*",วันพฤหัสบดี 10:00,25 °C,3/4/2025
"USA, Missouri, Kansas City*",วันพฤหัสบดี 10:00,9 °C,3/4/2025
"USA, Missouri, St. Louis*",วันพฤหัสบดี 10:00,13 °C,3/4/2025
"USA, Montana, Billings*",วันพฤหัสบดี 09:00,-1 °C,3/4/2025
"USA, Nebraska, Lincoln*",วันพฤหัสบดี 10:00,4 °C,3/4/2025
"USA, Nevada, Las Vegas*",วันพฤหัสบดี 08:00,7 °C,3/4/2025
"USA, New Hampshire, Concord*",วันพฤหัสบดี 11:00,1 °C,3/4/2025
"USA, New Jersey, Newark*",วันพฤหัสบดี 11:00,11 °C,3/4/2025
"USA, New Mexico, Albuquerque*",วันพฤหัสบดี 09:00,4 °C,3/4/2025
"USA, New York, New York*",วันพฤหัสบดี 11:00,11 °C,3/4/2025
"USA, North Carolina, Raleigh*",วันพฤหัสบดี 11:00,24 °C,3/4/2025
"USA, North Dakota, Bismarck*",วันพฤหัสบดี 10:00,0 °C,3/4/2025
"USA, Ohio, Columbus*",วันพฤหัสบดี 11:00,19 °C,3/4/2025
"USA, Oklahoma, Oklahoma City*",วันพฤหัสบดี 10:00,9 °C,3/4/2025
"USA, Oregon, Portland*",วันพฤหัสบดี 08:00,7 °C,3/4/2025
"USA, Oregon, Salem*",วันพฤหัสบดี 08:00,6 °C,3/4/2025
"USA, Pennsylvania, Philadelphia*",วันพฤหัสบดี 11:00,15 °C,3/4/2025
"USA, Rhode Island, Providence*",วันพฤหัสบดี 11:00,9 °C,3/4/2025
"USA, South Carolina, Columbia*",วันพฤหัสบดี 11:00,23 °C,3/4/2025
"USA, South Dakota, Rapid City*",วันพฤหัสบดี 09:00,-2 °C,3/4/2025
"USA, South Dakota, Sioux Falls*",วันพฤหัสบดี 10:00,2 °C,3/4/2025
"USA, Tennessee, Knoxville*",วันพฤหัสบดี 11:00,24 °C,3/4/2025
"USA, Tennessee, Nashville*",วันพฤหัสบดี 10:00,19 °C,3/4/2025
"USA, Texas, Austin*",วันพฤหัสบดี 10:00,23 °C,3/4/2025
"USA, Texas, Dallas*",วันพฤหัสบดี 10:00,15 °C,3/4/2025
"USA, Texas, Houston*",วันพฤหัสบดี 10:00,26 °C,3/4/2025
"USA, Texas, Midland*",วันพฤหัสบดี 10:00,13 °C,3/4/2025
"USA, Utah, Salt Lake City*",วันพฤหัสบดี 09:00,2 °C,3/4/2025
"USA, Vermont, Montpelier*",วันพฤหัสบดี 11:00,2 °C,3/4/2025
"USA, Virginia, Richmond*",วันพฤหัสบดี 11:00,22 °C,3/4/2025
"USA, Washington, Seattle*",วันพฤหัสบดี 08:00,7 °C,3/4/2025
"USA, West Virginia, Charleston*",วันพฤหัสบดี 11:00,18 °C,3/4/2025
"USA, Wisconsin, Madison*",วันพฤหัสบดี 10:00,4 °C,3/4/2025
"USA, Wisconsin, Milwaukee*",วันพฤหัสบดี 10:00,4 °C,3/4/2025
"USA, Wyoming, Cheyenne*",วันพฤหัสบดี 09:00,-3 °C,3/4/2025
"Uzbekistan, Tashkent",วันพฤหัสบดี 20:00,22 °C,3/4/2025
"Vanuatu, Port Vila",วันศุกร์ 02:00,24 °C,3/4/2025
"Vatican City State, Vatican City*",วันพฤหัสบดี 17:00,21 °C,3/4/2025
"Venezuela, Caracas",วันพฤหัสบดี 11:00,26 °C,3/4/2025
"Vietnam, Hanoi",วันพฤหัสบดี 22:00,22 °C,3/4/2025
"Vietnam, Ho Chi Minh",วันพฤหัสบดี 22:00,29 °C,3/4/2025
"Western Sahara, El Aaiún",วันพฤหัสบดี 15:00,23 °C,3/4/2025
"Yemen, Aden",วันพฤหัสบดี 18:00,29 °C,3/4/2025
"Zimbabwe, Harare",วันพฤหัสบดี 17:00,24 °C,3/4/2025
"Albania, Tirana*",วันศุกร์ 17:00,14 °C,4/4/2025
"Algeria, Algiers",วันศุกร์ 16:00,22 °C,4/4/2025
"Angola, Luanda",วันศุกร์ 16:00,31 °C,4/4/2025
"Antigua and Barbuda, Saint John's",วันศุกร์ 11:00,27 °C,4/4/2025
"Argentina, Buenos Aires",วันศุกร์ 12:00,13 °C,4/4/2025
"Argentina, Córdoba, Córdoba",วันศุกร์ 12:00,9 °C,4/4/2025
"Armenia, Yerevan",วันศุกร์ 19:00,17 °C,4/4/2025
"Australia, Australian Capital Territory, Canberra*",วันเสาร์ 02:00,11 °C,4/4/2025
"Australia, New South Wales, Sydney*",วันเสาร์ 02:00,20 °C,4/4/2025
"Australia, Northern Territory, Alice Springs",วันเสาร์ 00:30,15 °C,4/4/2025
"Australia, Northern Territory, Darwin",วันเสาร์ 00:30,26 °C,4/4/2025
"Australia, Queensland, Brisbane",วันเสาร์ 01:00,22 °C,4/4/2025
"Australia, Queensland, Cairns",วันเสาร์ 01:00,27 °C,4/4/2025
"Australia, South Australia, Adelaide*",วันเสาร์ 01:30,15 °C,4/4/2025
"Australia, Tasmania, Hobart*",วันเสาร์ 02:00,11 °C,4/4/2025
"Australia, Victoria, Melbourne*",วันเสาร์ 02:00,13 °C,4/4/2025
"Australia, Western Australia, Eucla",วันศุกร์ 23:45,17 °C,4/4/2025
"Australia, Western Australia, Perth",วันศุกร์ 23:00,18 °C,4/4/2025
"Austria, Vienna, Vienna*",วันศุกร์ 17:00,19 °C,4/4/2025
"Azerbaijan, Baku",วันศุกร์ 19:00,15 °C,4/4/2025
"Bahamas, Nassau*",วันศุกร์ 11:00,26 °C,4/4/2025
"Bahrain, Manama",วันศุกร์ 18:00,27 °C,4/4/2025
"Bangladesh, Dhaka",วันศุกร์ 21:00,31 °C,4/4/2025
"Barbados, Bridgetown",วันศุกร์ 11:00,28 °C,4/4/2025
"Belarus, Minsk",วันศุกร์ 18:00,17 °C,4/4/2025
"Belgium, Brussels, Brussels*",วันศุกร์ 17:00,22 °C,4/4/2025
"Belize, Belmopan",วันศุกร์ 09:00,27 °C,4/4/2025
"Benin, Porto Novo",วันศุกร์ 16:00,32 °C,4/4/2025
"Bermuda, Hamilton*",วันศุกร์ 12:00,22 °C,4/4/2025
"Bhutan, Thimphu",วันศุกร์ 21:00,7 °C,4/4/2025
"Bolivia, La Paz",วันศุกร์ 11:00,6 °C,4/4/2025
"Bosnia-Herzegovina, Sarajevo*",วันศุกร์ 17:00,11 °C,4/4/2025
"Botswana, Gaborone",วันศุกร์ 17:00,20 °C,4/4/2025
"Brazil, Acre, Rio Branco",วันศุกร์ 10:00,27 °C,4/4/2025
"Brazil, Amazonas, Manaus",วันศุกร์ 11:00,28 °C,4/4/2025
"Brazil, Bahia, Salvador",วันศุกร์ 12:00,30 °C,4/4/2025
"Brazil, Ceará, Fortaleza",วันศุกร์ 12:00,28 °C,4/4/2025
"Brazil, Distrito Federal, Brasilia",วันศุกร์ 12:00,26 °C,4/4/2025
"Brazil, Pará, Belém",วันศุกร์ 12:00,29 °C,4/4/2025
